Column1,Column2,Column3,Column4,Column5,Column6,Column7
unit_type,unit_code,unit_name,province,district,subdistrict,department
,380201,,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองคะยุค,คลองคะยุค,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองตุ๊กแก,คลองตุ๊กแก,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองน้ำไหล3,คลองน้ำไหล3,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองปู่เล็ก,คลองปู่เล็ก,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองมดแดง,คลองมดแดง,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองลานพัฒนา 4,คลองลานพัฒนา 4,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองลานพัฒนา 5,คลองลานพัฒนา 5,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองแขยงตอนล่าง,คลองแขยงตอนล่าง,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,คลองโป่งค่าง,คลองโป่งค่าง,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,ปางมะนาว แห่งที่ 3,ปางมะนาว แห่งที่ 3,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,ปางมะนาว แห่งที่ 5,ปางมะนาว แห่งที่ 5,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อุดมทรัพย์ ,อุดมทรัพย์ ,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อุดมทรัพย์ 2,อุดมทรัพย์ 2,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองคะยุค,อ่างเก็บน้ำคลองคะยุค,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองตุ๊กแก,อ่างเก็บน้ำคลองตุ๊กแก,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองน้ำไหล 3,อ่างเก็บน้ำคลองน้ำไหล 3,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองปู่เล็ก,อ่างเก็บน้ำคลองปู่เล็ก,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองมดแดง,อ่างเก็บน้ำคลองมดแดง,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองลานพัฒนา4,อ่างเก็บน้ำคลองลานพัฒนา4,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองลานพัฒนา5,อ่างเก็บน้ำคลองลานพัฒนา5,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองแขยงตอนล่าง,อ่างเก็บน้ำคลองแขยงตอนล่าง,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
อ่างขนาดเล็ก,อ่างเก็บน้ำคลองโป่งค่าง,อ่างเก็บน้ำคลองโป่งค่าง,กำแพงเพชร,,,สำนักงานชลประทานที่ 4
